

Result from executing on host csap-dev01:[bash, -c, free -m]

Linux 3.10.0-514.el7.x86_64 (csap-dev01)        07/10/2017      _x86_64_        (8 CPU)

Device:            tps    MB_read/s    MB_wrtn/s    MB_read    MB_wrtn
fd0               0.00         0.00         0.00          0          0
sdb               3.34         0.00         0.07      18152    1279201
sda               1.58         0.00         0.02       4773     297559
dm-0              0.01         0.00         0.00        130        378
dm-1              2.64         0.00         0.04      10933     845323
dm-2              3.25         0.00         0.02       7087     433499
dm-3              0.00         0.00         0.00        215         53
dm-4              0.00         0.00         0.00         12          3
dm-5              0.00         0.00         0.00        153          4
dm-6              0.00         0.00         0.00          9          3
