# paste in pidstat -hd 15 1 | sed 's/  */ /g' , add pids from psresults

Linux 2.6.32-358.el6.x86_64 (csap-dev01) 	04/07/2015 	_x86_64_	(8 CPU)
# Time UID PID kB_rd/s kB_wr/s kB_ccwr/s Command
 1428425726 1001 4149 22.34 5.67 0.00 java
 1428425726 1001 5008 0.00 0.53 0.00 java
 1428425726 1001 14819 7024.00 1.53 0.00 java
 1428425726 1001 6539 0.00 0.53 0.00 jstatd
 1428425726 1001 14819 0.00 0.53 0.00 java
 1428425726 1001 7071 0.00 0.53 0.00 java
 1428425726 1001 9725 0.00 0.27 0.00 mongod
 1428425726 1001 14819 0.00 0.80 1.33 java
 1428425726 1001 16651 0.00 0.53 0.00 java
 1428425726 1001 20110 0.00 0.53 0.00 java
 1428425726 1001 23124 0.00 5.06 0.00 mongod
 1428425726 1001 23457 0.00 0.53 0.00 java
