

top - 05:08:33 up 28 days, 12:54, 17 users, load average: 0.11, 0.04, 0.01
Tasks: 170 total, 1 running, 169 sleeping, 0 stopped, 0 zombie
Cpu(s): 28.5%us, 5.2%sy, 0.0%ni, 98.1%id, 1.2%wa, 0.0%hi, 0.0%si, 0.0%st
Mem: 8062752k total, 7177188k used, 885564k free, 449228k buffers
Swap: 4128760k total, 0k used, 4128760k free, 3346568k cached
 
PID USER PR NI VIRT RES SHR S %CPU %MEM TIME+ COMMAND
20672 ssadmin 8 -12 2735m 306m 15m S 0.9 3.9 8:40.40 java 
16802 ssadmin 8 -12 2735m 306m 15m S 8.9 3.9 8:40.40 java
15503 ssadmin 20 0 455m 37m 3860 S 0.7 0.5 242:55.38 mongod
15180 ssadmin 20 0 2647m 276m 14m S 0.6 3.5 4:45.94 java
3786 ssadmin 20 0 2753m 489m 15m S 0.3 6.2 26:18.39 java
4774 ssadmin 20 0 2753m 489m 15m S 22.3 6.2 26:18.39 java
1187 ssadmin 20 0 2933m 494m 11m S 0.2 6.3 75:12.89 java
1202 root 20 0 68320 2252 1332 S 0.2 0.0 33:33.81 vmtoolsd
21 root 20 0 0 0 0 S 0.1 0.0 3:29.61 events/2
1758 root 20 0 9140 460 300 S 0.1 0.0 4:41.25 irqbalance
3906 ssadmin 20 0 2503m 299m 11m S 0.1 3.8 70:12.41 java
4229 ssadmin 20 0 2502m 254m 10m S 0.1 3.2 71:50.29 java
13067 ssadmin 20 0 2574m 195m 15m S 0.1 2.5 46:58.56 java
20733 ssadmin 8 -12 378m 10m 1064 S 0.1 0.1 0:22.39 httpd
20735 ssadmin 8 -12 378m 10m 1068 S 0.1 0.1 0:21.97 httpd
21345 ssadmin 20 0 15044 1288 944 R 0.1 0.0 0:43.61 top
29419 ssadmin 20 0 2519m 340m 13m S 0.1 4.3 52:49.62 java
30744 ssadmin 17 -3 2497m 153m 11m S 0.1 2.0 17:14.74 java
1 root 20 0 19348 1000 628 S 0.0 0.0 0:06.18 init
2 root 20 0 0 0 0 S 0.0 0.0 0:00.00 kthreadd
3 root RT 0 0 0 0 S 0.0 0.0 0:25.14 migration/0
4 root 20 0 0 0 0 S 0.0 0.0 1:38.27 ksoftirqd/0
5 root RT 0 0 0 0 S 0.0 0.0 0:00.25 migration/0
6 root RT 0 0 0 0 S 0.0 0.0 0:07.90 watchdog/0
7 root RT 0 0 0 0 S 0.0 0.0 0:26.46 migration/1
8 root RT 0 0 0 0 S 0.0 0.0 0:00.25 migration/1
9 root 20 0 0 0 0 S 0.0 0.0 8:00.13 ksoftirqd/1
10 root RT 0 0 0 0 S 0.0 0.0 0:07.14 watchdog/1
11 root RT 0 0 0 0 S 0.0 0.0 0:24.31 migration/2
12 root RT 0 0 0 0 S 0.0 0.0 0:00.25 migration/2
13 root 20 0 0 0 0 S 0.0 0.0 1:26.03 ksoftirqd/2
14 root RT 0 0 0 0 S 0.0 0.0 0:06.71 watchdog/2
15 root RT 0 0 0 0 S 0.0 0.0 0:25.12 migration/3
16 root RT 0 0 0 0 S 0.0 0.0 0:00.25 migration/3
17 root 20 0 0 0 0 S 0.0 0.0 1:24.96 ksoftirqd/3
18 root RT 0 0 0 0 S 0.0 0.0 0:06.14 watchdog/3
19 root 20 0 0 0 0 S 0.0 0.0 3:32.49 events/0
20 root 20 0 0 0 0 S 0.0 0.0 48:35.83 events/1
22 root 20 0 0 0 0 S 0.0 0.0 109:39.20 events/3
23 root 20 0 0 0 0 S 0.0 0.0 0:00.00 cgroup
24 root 20 0 0 0 0 S 0.0 0.0 0:00.00 khelper
25 root 20 0 0 0 0 S 0.0 0.0 0:00.00 netns
26 root 20 0 0 0 0 S 0.0 0.0 0:00.00 async/mgr
27 root 20 0 0 0 0 S 0.0 0.0 0:00.00 pm
28 root 20 0 0 0 0 S 0.0 0.0 0:13.62 sync_supers
29 root 20 0 0 0 0 S 0.0 0.0 0:13.40 bdi-default
30 root 20 0 0 0 0 S 0.0 0.0 0:00.00 kintegrityd/0
31 root 20 0 0 0 0 S 0.0 0.0 0:00.00 kintegrityd/1
32 root 20 0 0 0 0 S 0.0 0.0 0:00.00 kintegrityd/2
33 root 20 0 0 0 0 S 0.0 0.0 0:00.00 kintegrityd/3
34 root 20 0 0 0 0 S 0.0 0.0 0:16.90 kblockd/0
35 root 20 0 0 0 0 S 0.0 0.0 0:15.18 kblockd/1
36 root 20 0 0 0 0 S 0.0 0.0 0:13.04 kblockd/2
37 root 20 0 0 0 0 S 0.0 0.0 0:16.15 kblockd/3
38 root 20 0 0 0 0 S 0.0 0.0 0:00.00 kacpid
39 root 20 0 0 0 0 S 0.0 0.0 0:00.00 kacpi_notify
40 root 20 0 0 0 0 S 0.0 0.0 0:00.00 kacpi_hotplug
41 root 20 0 0 0 0 S 0.0 0.0 0:00.00 ata/0
42 root 20 0 0 0 0 S 0.0 0.0 0:00.00 ata/1
43 root 20 0 0 0 0 S 0.0 0.0 0:00.00 ata/2
44 root 20 0 0 0 0 S 0.0 0.0 0:00.00 ata/3
45 root 20 0 0 0 0 S 0.0 0.0 0:00.00 ata_aux
46 root 20 0 0 0 0 S 0.0 0.0 0:00.00 ksuspend_usbd
47 root 20 0 0 0 0 S 0.0 0.0 0:00.00 khubd
48 root 20 0 0 0 0 S 0.0 0.0 0:00.00 kseriod
49 root 20 0 0 0 0 S 0.0 0.0 0:00.00 md/0
50 root 20 0 0 0 0 S 0.0 0.0 0:00.00 md/1
51 root 20 0 0 0 0 S 0.0 0.0 0:00.00 md/2
52 root 20 0 0 0 0 S 0.0 0.0 0:00.00 md/3
53 root 20 0 0 0 0 S 0.0 0.0 0:00.00 md_misc/0
54 root 20 0 0 0 0 S 0.0 0.0 0:00.00 md_misc/1
55 root 20 0 0 0 0 S 0.0 0.0 0:00.00 md_misc/2
56 root 20 0 0 0 0 S 0.0 0.0 0:00.00 md_misc/3
57 root 20 0 0 0 0 S 0.0 0.0 0:02.90 khungtaskd
58 root 20 0 0 0 0 S 0.0 0.0 0:00.82 kswapd0
59 root 25 5 0 0 0 S 0.0 0.0 0:00.00 ksmd
60 root 39 19 0 0 0 S 0.0 0.0 0:28.00 khugepaged
61 root 20 0 0 0 0 S 0.0 0.0 0:00.00 aio/0
62 root 20 0 0 0 0 S 0.0 0.0 0:00.00 aio/1
63 root 20 0 0 0 0 S 0.0 0.0 0:00.00 aio/2
64 root 20 0 0 0 0 S 0.0 0.0 0:00.00 aio/3
65 root 20 0 0 0 0 S 0.0 0.0 0:00.00 crypto/0
66 root 20 0 0 0 0 S 0.0 0.0 0:00.00 crypto/1
67 root 20 0 0 0 0 S 0.0 0.0 0:00.00 crypto/2
68 root 20 0 0 0 0 S 0.0 0.0 0:00.00 crypto/3
73 root 20 0 0 0 0 S 0.0 0.0 0:00.00 kthrotld/0
74 root 20 0 0 0 0 S 0.0 0.0 0:00.00 kthrotld/1
75 root 20 0 0 0 0 S 0.0 0.0 0:00.00 kthrotld/2
76 root 20 0 0 0 0 S 0.0 0.0 0:00.00 kthrotld/3
77 root 20 0 0 0 0 S 0.0 0.0 0:00.00 pciehpd
79 root 20 0 0 0 0 S 0.0 0.0 0:00.00 kpsmoused
80 root 20 0 0 0 0 S 0.0 0.0 0:00.00 usbhid_resumer
111 root 20 0 0 0 0 S 0.0 0.0 0:00.00 kstriped
279 root 20 0 0 0 0 S 0.0 0.0 0:00.03 scsi_eh_0
